206.054, 132.984, 5.007,  4.379 False
206.222, 132.982, 5.015,  4.412 False
206.389, 132.979, 5.022,  4.445 False
206.557, 132.977, 5.027,  4.478 False
206.724, 132.975, 5.031,  4.511 False
206.892, 132.973, 5.026,  4.544 False
207.059, 132.970, 5.002,  4.577 False
207.225, 132.969, 4.986,  4.610 False
207.391, 132.966, 4.997,  4.643 False
207.558, 132.964, 5.006,  4.676 False
207.725, 132.962, 5.015,  4.709 False
207.892, 132.960, 5.021,  4.742 False
208.060, 132.958, 5.027,  4.775 False
208.228, 132.956, 5.030,  4.808 False
208.395, 132.954, 5.027,  4.841 False
208.562, 132.953, 5.004,  4.874 False
208.728, 132.951, 4.987,  4.907 False
208.895, 132.949, 4.998,  4.940 False
209.062, 132.947, 5.007,  4.973 False
209.229, 132.946, 5.015,  5.006 False
209.396, 132.944, 5.022,  5.039 False
209.564, 132.943, 5.027,  5.072 False
209.731, 132.941, 5.030,  5.105 False
209.899, 132.940, 5.026,  5.138 False
210.066, 132.939, 5.004,  5.171 False
210.232, 132.938, 4.987,  5.204 False
210.398, 132.936, 4.997,  5.237 False
210.565, 132.934, 5.006,  5.270 False
210.732, 132.933, 5.014,  5.303 False
210.900, 132.932, 5.020,  5.336 False
211.067, 132.931, 5.025,  5.369 False
211.235, 132.930, 5.029,  5.402 False
211.402, 132.929, 5.026,  5.435 False
211.569, 132.928, 5.005,  5.468 False
211.736, 132.926, 4.988,  5.501 False
211.902, 132.925, 4.998,  5.534 False
212.069, 132.924, 5.007,  5.567 False
212.236, 132.924, 5.014,  5.600 False
212.403, 132.922, 5.021,  5.633 False
212.571, 132.922, 5.025,  5.666 False
212.739, 132.921, 5.029,  5.699 False
212.906, 132.920, 5.028,  5.732 False
213.073, 132.919, 5.010,  5.765 False
213.240, 132.918, 4.993,  5.798 False
213.406, 132.917, 5.002,  5.831 False
213.573, 132.916, 5.009,  5.864 False
213.740, 132.916, 5.015,  5.897 False
213.908, 132.915, 5.020,  5.930 False
214.075, 132.914, 5.020,  5.963 False
